Questions,Answers
How do I create an account,"An online application account can be created through the SMIU website i.e. https://admissions.SMIU.edu.pk/. To create an online application account with the SMIU Online Application System, you are required to have a valid email address. Please use your Yahoo or Gmail account to create your online application account. Applicants are advised to have at least two active email addresses so that in case of any problem with their email account they can still correspond with the SMIU Office of Admissions through their second address. It is advised to create only One Account for the online application submission."
Why do I need to list All schools I have attended,It's important for us to get a complete and accurate picture of your academic history. Failure to list and submit transcripts from all institutions previously attended is considered to be a violation of academic ethics and may result in the cancellation of your admission or dismissal from the university.
I uploaded my transcripts to my application; do I still need to mail copies to the SMIU Admissions Office,"Yes, attested official copies of transcripts are required. Uploading copies of your transcripts with your application will help expedite the review of your application. However, all transcripts uploaded by applicants are considered “unofficial” copies. Your admission decision may be delayed if you do not submit official copies of your transcripts."
Which admission tests are needed for SMIU,Please visit the following link: https://admission.SMIU.edu.pk/testing
Are there application processing charges,"Yes, there is an online application processing fee."
How can I submit the application processing and test fee (if applicable),After the successful submission of the online application form you will be able to print a system generated Application Processing Payment Voucher. Please print the fee voucher for making payments. For further details regarding Fee payment options Click here
Can I submit the application after the deadline,"No, the online application system will automatically stop working after the deadline; therefore, we encourage you to submit your application well before the deadline in order to avoid any inconvenience."
" If I send my supporting documents late, will it negatively impact my application",Admission to the programmes is competitive. It is in your best interest to apply and submit all of the required documents early. Please make sure that you review the deadline submission date for your programme of choice.
Is it possible to make changes to the online application after submitting it,"No, you can't make changes to the application once it is submitted; therefore, you are advised to fill out your application carefully."
How do I know if my application was submitted,"When the application is submitted you will also receive an email notifying you that your application has been submitted. At that time, you can continue to check the status of your application through your Online Application Account."
What is a mailing label,"A mailing label has especially been designed for your convenience as it bears not only your name, tracking/application ID, schools applied to but also a complete address for correspondence. After the successful submission of your application form you will be able to print the mailing label. The SMIU Admissions Office will only accept a package that contains the “Mailing Label”."
When will I receive an admission decision,"Typically, applicants receive a decision between March to July. We strive to notify applicants as soon as possible, but please note that the time frame may vary by programme. Decisions administered by the SMIU Admissions Office are considered to be official. Admission letters are sent through postal mail. We are unable to release admission decisions via phone."
Who do I contact if I have questions about the application process,"If you have any question about the application process, please contact SMIU Admissions Office at the following link: https://admission.SMIU.edu.pk/contact-admission-office"
Who do I contact if I have questions about a particular programme,"If you have any question regarding a programme, please visit the relevant link on the SMIU website: www.SMIU.edu.pk."
" When, where and how should I (International applicant) apply for my student visa",Please visit the following link:https://international.SMIU.edu.pk/visa-and-travel
What are the salient features of Admission System of SMIU," Admission is granted on the basis of candidates’ performance in SMIU Entry Test (NET) or score in Scholastic Aptitude Test (SAT) for which limited number of seats are reserved.
•   The entire process of registration for admission is online.
•   Candidates must be in possession of CNIC or Form B or NICOP (National Identity Card for Overseas Pakistanis).
•   For applying for Registration:-
        •   FA / FSc stream candidates should have passed Part-I exam.
        •   A level students should have obtained minimum 60% marks in O level as per equivalence cirtificate issued by IBCC.

•   When applications for admissions are invited, candidates are first required to get registered by providing valid email address. On provision of registration number, the candidate is required to fill up the online admission form and deposit specified processing fee.
•   Candidates can appear in the entry test more than once to improve their score. The merit for admission is prepared on the basis of best score.
•   For every attempt to appear in NET, a separate application is to be filled up.
•   Computer based entry tests for all disciplines are held in multiple series at SMIU Campus Islamabad according to the following schedule:
     •   First Series (NET-1)      - 7 Dec 2019 onwards
     •   Second Series (NET-2) - Mar 2020
     •   Third Series (NET-3)    - Jun-Jul 2020
•   Paper based entry test is conducted in Karachi and Quetta in Mar & July.
•   In NET-2 & 3, candidates have an option either to appear for Paper Based Test at Karachi & Quetta or Computer Based Test at Islamabad.
•   In Computer-based Entry Test, candidates can select the date and session of test according to their choice depending on availability of space.
•   Admission process for all undergraduate programmes is conducted once a year to facilitate the commencement of the academic year in Fall.
•   For more details, please visit SMIU website www.SMIU.edu.pk."
What category of candidates can apply for admission on the basis of SAT,"Any candidate can apply for admission on the basis of SAT provided he / she has SAT score for the prescribed disciplines of study. Separate admission form will be available on SMIU website for the purpose of applying on SAT basis. Admission on SAT basis has two categories, ie National and International. Candidates admitted on National seats pay tuition fee and allied charges in Pak currency whereas candidates admitted against International seats pay the required dues at rates defined for international students. For admission against international seats, the following categories will be eligible:-
•   Pakistani national students having passed an examination equivalent to intermediate level of Pakistan from a foreign education system.
•   Foreigners and Pakistanis having dual nationality, irrespective of the place of their HSSC study, ie Pakistan or abroad.
•   Pakistani students who studied abroad but have passed the requisite examination from a Pakistani board."
What documents are essentially required to be submitted while applying for admission,"While applying for admission, possession of Computerized National Identity Card (CNIC) / Form 'B' or NICOP is mandatory. Online registration system does not require attachment of documents / credentials. However, the same will be required for verification during selection and admission process of selected candidates."
What is the processing fee for online registration for Admission,"Application processing fee will be charged according to the following structure:
SMIU Entry Test (per exam)                          -   Rs. 3,300/- or USD 35/-
For SAT Candidate
           * SAT (National seat)                                   -   Rs. 5,000/- or USD 40/-
           * SAT (International seat)                            -   Rs. 10,000/- or USD 80/-

The fee in Pakistani rupees can be deposited in any branch of Habib Bank Limited (HBL) on the fee invoice to be printed after successful completion / submission of online application. Application processing fee is neither refundable nor transferable. It will remain valid only for the series for which it has been paid."
What is the detail of SAT Score needed for admission on the basis of SAT,"SMIU requires following SAT scores (a minimum score of 550 in each subject):-

•   Engineering: SAT Subject Test score in Physics, Chemistry and Mathematics Level-II
 
•   B Architecture, B Industrial Design, BS Computer Science, Computer Engg, Software Engg: SAT Subject Test score in Physics and Mathematics Level-II

•   BS Applied Biosciences: SAT Subject Test score in Biology M

•   BBA / BS Economics, BS Mass Communication, BS Public Administration, BS Psychology, BS Accounting & Finance : SAT Test (SAT-I)

•   BS Mathematics: SAT Subject Test score in Mathematics Level-II

•   BS Physics: SAT Subject Test score in Physics and Mathematics Level-II

•   BS Chemistry: SAT Subject Test score in Chemistry"
I am in my final year of A Levels and my result will be announced in August 2019. Can I apply,"Yes, you can apply, as in such case you will be evaluated on the basis of ‘O’ levels equivalence marks but you have to provide equivalence certificate of ‘A’ levels within 15 days of announcement of result, as follows:
     a.   For Applied Biosciences: For finalization of merit.
     b.   For Other Disciplines: Before the commencement of academic classes."
What are the different Undergraduate Programmes offered at SMIU,"Currently, the following Programmes are being offered:
 BBA , BSCS, BS education , BS media scineces , Bs education"
Does SMIU offer scholarship / financial assistance,"Those students who show good academic performance and maintain minimum GPA of 3.5 out of 4.0 in case of all UG programmes are eligible to get financial assistance, as per policy in each semester."
What is the eligibility criteria for admission in different undergraduate programmes,"BS Computer Science / Computer Engineering / Software Engineering
Minimum of 60% marks each in Matric / O level / Equivalent qualification (Science Group) and FSc / A level / equivalent qualification (Pre-Engineering OR Computer Science Group).

Business Studies / Social Sciences
Minimum of 60% marks each in Matric / O level / Equivalent qualification and FA / FSc / A level / equivalent qualification.
For BBA, BS Economics, BS Mass Communication and BS Public Administration, BS Psychology, Intermediate or an equivalent qualification, such as an Overseas High School Certificate / British General Certificate of Education (Advanced Level) / International Baccalaureate / Advance Placement.

For BS Accounting & Finance, Intermediate or an equivalent qualification like overseas High School Certificate / British General Certificate of Education (Advanced Level) / International Baccalaureate / Advanced placement with Mathematics or Accounting and Finance or Accountancy as one of the major subjects.
BS Media
A minimum of 60% marks each in Matric / O level / Equivalent qualification, and intermediate / A level / equivalent qualification with mathematics as one of the major subject.
BS Education
A minimum of 60% marks each in Matric / O level / Equivalent qualification"
Can I apply for more than one programme,"Yes, by paying additional application fee provided you meet eligibility criteria."
I am a foreigner and want to get admission at SMIU,"If you fulfill the eligibility criteria, you can apply for admission on the basis of SAT (International seat) through your embassy. Separate admission form will be available on SMIU website for applying on SAT basis. For details, including payment of fee in US Dollars, please refer to the undergraduate section on SMIU website."
If I have taken SAT & SAT Subject Tests do I still have to sit in the Entry Test,"Separate admission form will be available on SMIU website for applying on the basis of SAT and entry test. Those applying on SAT basis need not take SMIU Entry Test (NET), however they can opt for NET in addition to SAT Specified seats. In this way, they will be considered for both the streams."
Is an equivalence certificate of qualification other than Matric & FSc / FA necessary Can I not submit my O'level and A' level certificates (I ask so because I will be applying from abroad),"Equivalence certificates duly issued by IBCC Pakistan are necessary for those candidates who do not possess Matric & FSc / FA qualifications. Submission of only O&A level grade / mark sheets will not serve the purpose. All non FSc stream candidates must have equivalence certificate of their qualification, duly obtained from IBCC, Pakistan in relevant groups/subjects and with minimum 60% marks."
Is there any age limit for Undergraduate Admission,No
Would the admission processing fee / security deposit be refundable in case a student does not join the University,The university will refund only the security deposit to the candidates who do not join the university. Admission Processing Fee is non-refundable.
I could not appear in SMIU Entry Test Can I take the Test on some other day,"SMIU is conducting NET in paper based format on one day and in computer based format in two sessions daily, on different days, as per the schedule. As per policy, if a candidate misses the Test session he / she is not given another chance. But in case of extreme emergency, requests may be entertained on case to case basis, depending on availability of space."
Is there any negative marking in the SMIU Entry Test,"No, there is no negative marking."
What is the deadline for submission of SAT score,"Last date for SAT score to reach SMIU directly from College Board, USA, is 15 July, 2019. SMIU institutional code to receive SAT scores is 2790. It is the responsibility of candidates to ensure the provision of SAT scores to Undergraduate Section, SMIU, Sector H-12, Islamabad by the given deadline."
Is migration to SMIU allowed,"Yes, as per migration policy, students can apply for migration after completion of first year and before the beginning of final year. However, applicants with exceptionally good academic record are considered for migration to SMIU."
Whom should I contact for queries about SMIU Entry Test for Undergraduate Programmes,"You can contact through
Phone: +92 21 99217501-3
Fax : +92 21 99217504
Email: info@smiu.edu.pk"
What is the syllabus of Entry Test subjects and format of s,"SMIU Entry Test is primarily based on FA / FSc level studies (Part-1 & Part-II) and questions are in the form of MCQs with four answer options each. The paper of English is on the pattern of SAT exam. The test also includes Intelligence part. A sample paper can be seen on SMIU website.
Textbooks are consulted while developing the question bank. Grasping the concepts available in different textbooks will be beneficial."
What are the subjects for Entry Test for different categories of candidates,"SMIU Entry Test is conducted in the following subjects for various categories:
•   Engineering / Computer Science: Mathematics, Physics, Chemistry / Computer Science, English & Intelligence
•   Business Studies / Social Sciences: Verbal (English), General Mathematics & Intelligence
•   BS Media: Media studies, English & Intelligence
•   BS Education: math, English & Intelligence"
Can I get some sample Test papers of SMIU Entry Test,"Mock Test for Computer Based / Paper Based Test are available on SMIU website www.ugadmissions.SMIU.edu.pk under the link Sample Test, for candidates to practice."
Can I get a copy of SMIU Entry Test result,Desirous candidates may obtain the result details of their Test from the link available on SMIU website.
Can I apply for rechecking of Entry Test Result,"Re-checking of Paper Based Entry Test may be requested within 5 days of the declaration of result along with a fee of Rs.500/- in the form of a bank draft/pay order in favour of SMIU. The original bank daft / pay order should be dispatched to Admissions Directorate, SMIU, Sector H-12, Islamabad, along with written application. Re-checking involves the verification of paper for any unmarked answers and error free totaling of marks."
What is the Syllabus for Intelligence Subject,"Intelligence questions will pertain to Arithmetical Reasoning, Critical Thinking, Analytical Approach and Problem Solving."
For various academics backgrounds which options for various UG disciplines are available,"The options available to candidates for admission in various programmes according to their academic background are as follows. However, all non-FSc stream candidates must have equivalence certificates duly obtained from IBCC, Pakistan in relevant groups/subjects, as spelled out in “Eligibility Criteria”."
What is the duration of test and the number of MCQs to be attempted,2:30 hours and 200 questions
I have DAE background. Which programmes can I apply for,(Details of Engineering programmes available for DAE candidates are covered separetly under DAE Eligibility Critria):-
" I got my name changed in my CNIC and Passport which is different from that on my academic documents ( O & A Level), how can I get the same name on my university degree and transcript",
Do I fall under the Expatriate Students category?,"​If you are temporarily or permanently residing in a country other than Pakistan, and hold either a Pakistani passport, or dual nationality (one of them being Pakistani), you fall under the Expatriate Student category."
How can I apply at SMIU if I am an expatriate student?,​An expatriate having dual nationality can opt for both NET and SAT on national and international seats.
I am a born Pakistani with a foreign passport; can I apply as an expatriate student?,​An expatriate having single foreign nationality can only opt for international seats on SAT basis.
" If I am selected on all 3 merits, what should I do?","​If selected on the basis of NET and SAT on national as well as international seat, you have the option to retain any seat of you own choosing."
What are the general admissions criteria,"for undergraduate at least 50% in inter or 60% in DAE or 2 A-Level Papers and for PHD, Graduate you may visit website"
What are the subject requirements for degree programs at SMI University,"for undergraduate at least 50% in inter or 60% in DAE or 2 A-Level Papers and for PHD, Graduate you may visit website"
When can I apply to SMI University,when admission will be open in uni you may visit to website and fb page of university
Can I apply if I have not yet completed my HSSC/A level/High School Diploma/International Baccalaureate Diploma,you may university phone number for this detail.
Am I eligible to apply if I have completed a Diploma of Associate Engineer (DAE),yes
Can I apply if I don’t meet the admissions criteria,for this query call on phone number
How do I proceed with my online application,All detail will be availabe on website
What supporting documents do I need to submit with my e-application,All detail will be availabe on website
How can I pay the application fee,All detail will be availabe on website
"If I don’t submit a portfolio, will it have a negative impact on my application",call on university number for further detail
Where do I find my Application ID Number,it's on form
How do I find my Invoice Number,it's on challan
Can I make changes to the online e-application once I have pressed the “Submit” button,call on university number for further detail
Will I receive a confirmation after submitting my e-application,yes
Does SMI University have an entrance test as part of its admissions process and can I get an exemption from test,yes
How should I prepare for SMI University’s Entrance Examination,from inter and matriculation
What is the assessment criteria for admission,it's on website
Will I be required to appear for an interview as part of the admissions process,yes
What should I expect at my interview,some personal and academic questions
What is the duration of SMI University’s Undergraduate degree program,4-Years
I am already enrolled in another university and want to transfer to SMIU – am I eligible and will my credits transfer,yes for further detail call on phone number
What is the fee structure,visit our website
Are there any scholarships or financial assistance/aid available at SMI University,yes for further detail call on phone number
Can I apply through a paper application,call on university number for further detail
When will I receive my admission decision,it's on admission advertise or website of university
How will I receive my admission decision,online result will be announced and through TCS
Can I re-take the entrance examination if I could not pass it in my first attempt,you can apply in next admission
Whom should I contact if I need any information related to admissions,call on university number for further detail
What is the process of re-taking the entrance examination,call on university number for further detail
Who can apply for SMI University’s scholarships,All students eligible for admission to SMI University are eligible to apply for its scholarships.
When should I apply for a scholarship,You should submit your scholarship application at the time you submit your admissions application.
How can I apply for a scholarship,The process to apply for scholarships is easy and simple. Follow the steps mentioned in the diagram below:
What type of scholarships are offered by SMI University,SMI University offers three types of scholarships
Do I need to fill in separate forms for the two types of scholarships offered,No
Do I need to fill in separate forms for the two types of scholarships offered,"No, you need to fill in only one scholarship form for all the scholarships offered by SMI University. Your scholarship will be determined based on your overall admission score."
Do I also need to fill in the Financial Aid form if I am applying for a Scholarship,A Financial Aid form is not required if you are applying only for Scholarship.
What documents do I need to submit,You need to submit the following documents along with your scholarship form: We may modify the list of documents needed from time to time. Keep checking our website for the current document list.
What is the criteria for awarding scholarships,The Scholarships awarded by SMI University at the time of admissions are not determined just on the basis of High School Grades. Key factors that contribute in determining the eligibility of students for the Scholarship include the following:
When and how will I know if I have been awarded a scholarship,SMI University will invite you and your parents for a meeting and will share the scholarship and fee payment plan. These meetings are organized once admission decisions are released.
Are scholarship decisions negotiable,Scholarship decisions are non-negotiable.
Are scholarships awarded for four years or one year,"Scholarships awarded at the time of admission are for four years, provided the recipient fulfills the following conditions:"
How will the University support me if I am struggling to maintain the GPA required to continue with the scholarship,"We trust the capabilities of all our students and facilitate them in their academic endeavours through a variety of ways. SMI University’s writing Centre and EHSAS Centre provide remedial support to students in overcoming their academic problems. Faculty Advisors provide one-on-one guidance to students in different areas In case students are not able to maintain the required CGPA, their scholarship will not be withdrawn immediately. 
They will be provided a probationary semester to improve their performance and achieve the required CGPA."
Will my scholarship be reviewed each semester,"Scholarships awarded at the time of admission are not reviewed every year. These are renewed each year against your performance. In light of your performance, it may change accordingly. If you will maintain the required CGPA, it will automatically be renewed after every semester."
"If I have been awarded with some scholarship at the time of my admission, will I be able to apply for other University-based scholarships during my four-years of study at SMI University","You can apply for other scholarships too, depending upon the criteria specified for those scholarships. p"
What is Financial Aid,"Financial Aid Program supports the students enrolled at SMI University to meet tuition and other fee requirements of the University. Under its Financial Aid Program, the University offers Grants and facilitates the students and their parents in acquiring Student Loan from different institutions including banks."
Who can apply for SMI University’s Financial Aid,All students who apply for admission to SMI University are eligible to apply for Financial Aid if they can demonstrate genuine financial need to fulfil their university tuition expenses.
When should I apply for Financial Aid,You should submit your Financial Aid application as soon as possible after submitting your admissions application.
How can I apply for Financial Aid,"Applying for Financial Aid is a simple, easy process. Follow the steps mentioned in the diagram below"
"If I have not applied for Financial Aid at the time of admission, can I apply for it during the course of my study at SMI University",You can apply for Financial Aid during your study at SMI University if your financial circumstances change. Your application will be reviewed as per SMI University’s policy and decisions will be taken accordingly
Do I also need to fill in a Scholarshi form if I am applying for Financial Aid,It is not essential. You can apply for just financial aid as well.
What documents do I need to submit,"You need to submit several documents along with your application for a fair assessment of your application. Please see the detailed list of required documents at the front page of financial aid application.
"
"Do I need to get my documents attested; and if so, by whom",Students must get their documents attested by a public notary or by the institution that issued the original document(s).
What if my parents are unwilling to disclose information on the Financial Aid form,"For a fair assessment of your application, it is essential that you provide complete information in your application. Incomplete applications will not be evaluated. All financial information and documents submitted to the Student Finance Office will be treated as confidential."
What can I expect during the verification stage of my application,"While evaluating student applications, the Student Finance Office may conduct verification from a recognized source or third party to ensure that the information submitted is genuine. They may also request additional documents or explanation of information from the student. Failure to provide information, giving incomplete or incorrect information, or concealment of information will result in the withdrawal or denial of Financial Aid. The University also reserves the right to take strict disciplinary action against such applicants or students."
How is the need and the amount of Financial Aid provided determined Is there any income cut-off to be eligible for Financial Aid,"There is no specific income cut-off point for eligibility for Financial Aid. Financial need and assistance packages are determined after a thorough, independent review of each case. Our goal is to treat students fairly while still maintaining flexibility and recognizing special circumstances. There are various factors that the Office of Student Finance considers while evaluating applications, including living expenses based on the household size, taxes paid by your family, medical expenses, educational expenses of siblings, family’s assets, and/or any special circumstances of the family. These factors help us estimate your family’s contribution to your education. If the estimated contribution is less than the cost of attending SMI University, you will be offered Financial Aid."
When and how will I know if I have been awarded a Financial Aid package,SMI University will invite you and your parents for a meeting after admission decisions are released. Your financial aid package will be shared with you in the meeting.
Are Financial Aid decisions negotiable,"Generally, financial aid decisions are non-negotiable. However, for special circumstances, you may consider having a discussion with the Director of Admissions."
Will the Financial Aid awarded at the time of admissions be continued for the complete four-year undergraduate program,Financial Aid awarded at the time of admission will continue for the four-year period if the following conditions are met:
How will the University support me if I struggle in maintaining the GPA required to continue the Financial Aid program,"We trust the capabilities of all our students and facilitate them in their academic endeavours through a variety of ways. SMI University’s writing Centre and EHSAS Centre provide remedial support to students in overcoming their academic problems. Faculty Advisors provide one-on-one guidance to students in different areas In case students are not able to maintain the required CGPA, their financial aid will not be withdrawn immediately. They will be provided a probationary semester to improve their performance and achieve the required CGPA."
Will my Financial Aid be reviewed every year,"Yes, your Financial Aid will be reviewed every year. You will be expected to submit an undertaking every year about your financial situation. If your financial situation remains as it was declared at the time of admissions, Financial Aid will continue without any change. If your circumstances change either positively or negatively, your Financial Aid will be reviewed accordingly."
Will my financial needs be fulfilled if I do not qualify for any scholarship,"If you do not qualify for any scholarship, your demonstrated financial needs will be fulfilled through Deferred Fee Plan, Work-study opportunities and Grants"
What is the Student Employment option,"Under the Student Employment Program, a student is employed on campus for a maximum of 16 hours a week during semester and 40 hours a week during summer & winter breaks. Students are paid an hourly wage in exchange for their work. The remuneration will be adjusted against the Deferred Fee or Current Fee. Students can avail Student-employment opportunities from Semester II if their academic performance is satisfactory and they have scored at least 2.33 CGPA."
Will the Student Employment Program engage me in on-campus or off-campus jobs,"Under the Student Employment Program, you will be engaged in on-campus jobs."
What type of work will I be engaged in if I opt for the Student Employment option,"The nature of work will vary from student to student depending upon their interest, skills, available time and opportunities. These could include working at the SMI University Library with library staff; working in laboratories with laboratory staff; providing services in the gymnasiums, sports courts and swimming pool; working as a peer tutor for specific skills; assisting the technology team; and becoming a student ambassador for Student Recruitment."
How much time can I spend weekly on my Student Employment Program,16 hours a week during semester and 40 hours a week during summer & winter breaks.
How much can I earn from the Student Employment Program,"Earnings from the Student Employment Program depend on the nature of the job and the amount of time spent. On an average, if a student consistently spends 16 hours a week throughout the year and a little more time during semester breaks, s/he can earn between PKR 50,000 -200,000 per year."
In what form will payments be made to students engaged in the Student Employment Program,Payment is made via bank cheque in favor of student or parent (either one having a bank account).
Will I be required to do work during my semester breaks,"Students can work on campus during semester breaks. The need to work during the semester breaks will depend on your plans to engage yourself in the Work-Study Program as per your financial need, interest and availability."
How will I be selected for one of the available Student Employment options,"Our Student Affairs Department will manage all Student Employment activities. Students will be asked to apply for available positions. There will be an assessment process to ensure that you possess the required skills to perform your selected tasks. If your assessment results are positive, you will be considered for the position you have applied for."
"If I am not a recipient of a Financial Aid package, can I be a part of the Student Employment Program","Yes, you can apply for available opportunities in the Work-Study Program. Your selection will depend on the priority set by Student Affairs and the Scholarship & Financial Aid Department."
Will the Student Employment Program affect my studies,Many students undertake studies and work together and manage both. Your Student Employment timings will not clash with your classes and other academic activities. You also need to boost your time and work management skills in order to give proper attention to both. p
Does SMI University offer grants,"Yes, SMI University does offer grants to students based on their financial condition and the University’s criteria."
Does SMI University provide facilitation for Student Loans,"Yes, SMI University facilitates the students and their families in acquiring student loans through various institutions including Banks. The loans will be governed by the rules and regulation of the institutions offering the loan."
How can I apply for grants,You only need to apply for Financial Aid. There is no need to submit a separate application for grants.
Is there any maximum or minimum range for the amount of grants awarded,The amount of grants awarded depends on your demonstrated financial need.
" I am a student of first semester, Can I apply for the leadership program"," Yes, you can apply. As the tests are conducted in the month of July, so your first semester result will be announced till that time and furthermore will be evaluated for the added process.
"
How much money will I have to pay for the program," The registration fee is Rs.1000/-. In case of submitting form after deadline, a late fee of Rs.1000/- is charged."
What will be the pattern of the exam," The exam pattern is usually a combination of both subjective and objective format including analysis questions, reference to the context, MCQs and descriptive writings in the form of essay or precis."
" What if my CGPA is just a point below the criteria, like 3 or 4","As the criteria states, that you can apply only if your CGPA is 5 or above."
What if my GPA in the last semester is above 5 but CGPA is below 5," You can take a chance in that case if you are confident enough that your next semester results will help you increase your CGPA up to the benchmark, However, the final evaluation will take into account your latest results, so it's completely your call."
Will I be expected to attend all the events for which I will get an invitation from the university," Yes its mandatory for the Ambassadors to attend all the session where they are invited from the university. However, in case of any emergency an application can be submitted to the Student Welfare/ Program Office. In case of non-compliance strict actions will be taken by the management."
What will be the consequences if in any case I will not be able to fulfill the expectations from the university,The senior management has the authority to take strict actions in case of non-compliance. A warning letter may be issued followed by explanation call and termination of the Ambassadorship.
What will be the process of lodging any complaints or giving any suggestions,See page number 6 of this booklet.
Does the University of SMIU offer chinese language classes,yes
Does the University of SMIU offer arabic language classes,yes
